Ano,Data,Nome,Tipo
2021,2021-01-01,Confraternização Universal,feriado
2021,2021-02-15,Carnaval,facultativo
2021,2021-02-16,Carnaval,facultativo
2021,2021-02-17,Quarta-feira de Cinzas,facultativo
2021,2021-04-02,Sexta-feira Santa,feriado
2021,2021-04-21,Tiradentes,feriado
2021,2021-05-01,Dia do Trabalhador,feriado
2021,2021-06-03,Corpus Christi,facultativo
2021,2021-08-05,Fundação do Estado,feriado
2021,2021-09-07,Independência do Brasil,feriado
2021,2021-10-12,Nossa Senhora Aparecida,feriado
2021,2021-10-28,Dia do Servidor Público,facultativo
2021,2021-11-02,Finados,feriado
2021,2021-11-15,Proclamação da República,feriado
2021,2021-12-24,Véspera de Natal,facultativo
2021,2021-12-25,Natal,feriado
2021,2021-12-31,Véspera de Ano-Novo,facultativo
2022,2022-01-01,Confraternização Universal,feriado
2022,2022-02-28,Carnaval,facultativo
2022,2022-03-01,Carnaval,facultativo
2022,2022-03-02,Quarta-feira de Cinzas,facultativo
2022,2022-04-15,Sexta-feira Santa,feriado
2022,2022-04-21,Tiradentes,feriado
2022,2022-05-01,Dia do Trabalhador,feriado
2022,2022-06-16,Corpus Christi,facultativo
2022,2022-08-05,Fundação do Estado,feriado
2022,2022-09-07,Independência do Brasil,feriado
2022,2022-10-12,Nossa Senhora Aparecida,feriado
2022,2022-10-28,Dia do Servidor Público,facultativo
2022,2022-11-02,Finados,feriado
2022,2022-11-15,Proclamação da República,feriado
2022,2022-12-24,Véspera de Natal,facultativo
2022,2022-12-25,Natal,feriado
2022,2022-12-31,Véspera de Ano-Novo,facultativo
2023,2023-01-01,Confraternização Universal,feriado
2023,2023-02-20,Carnaval,facultativo
2023,2023-02-21,Carnaval,facultativo
2023,2023-02-22,Quarta-feira de Cinzas,facultativo
2023,2023-04-07,Sexta-feira Santa,feriado
2023,2023-04-21,Tiradentes,feriado
2023,2023-05-01,Dia do Trabalhador,feriado
2023,2023-06-08,Corpus Christi,facultativo
2023,2023-08-05,Fundação do Estado,feriado
2023,2023-09-07,Independência do Brasil,feriado
2023,2023-10-12,Nossa Senhora Aparecida,feriado
2023,2023-10-28,Dia do Servidor Público,facultativo
